age,hours
21,1.34E+03
22,1.38E+03
23,1.46E+03
24,1.52E+03
25,1.58E+03
26,1.61E+03
27,1.63E+03
28,1.63E+03
29,1.64E+03
30,1.65E+03
31,1.65E+03
32,1.65E+03
33,1.65E+03
34,1.65E+03
35,1.66E+03
36,1.67E+03
37,1.67E+03
38,1.67E+03
39,1.68E+03
40,1.67E+03
41,1.68E+03
42,1.68E+03
43,1.68E+03
44,1.69E+03
45,1.69E+03
46,1.69E+03
47,1.70E+03
48,1.69E+03
49,1.69E+03
50,1.69E+03
51,1.67E+03
52,1.67E+03
53,1.65E+03
54,1.64E+03
55,1.62E+03
56,1.60E+03
57,1.57E+03
58,1.55E+03
59,1.53E+03
60,1.49E+03
61,1.45E+03
62,1.36E+03
63,1.28E+03
64,1.23E+03
65,1.15E+03
66,1.07E+03
67,1.03E+03
68,1.01E+03
69,9.66E+02
70,9.44E+02
71,9.47E+02
72,9.21E+02
73,9.15E+02
74,9.23E+02
75,9.15E+02
76,9.02E+02
77,9.05E+02
78,9.44E+02
79,9.47E+02
80,9.61E+02